"","X","Y","Z","temp_k","x","y"
"72",0.353252481,0.646737519,1e-05,515,0.3233637595,0.30592562249588
"73",0.352893378,0.646492699932,0.000613922068,515,0.322939388932,0.305614630175305
"74",0.352629955,0.64631176852,0.00105827648,515,0.32262674602,0.305386499165363
"75",0.353252481,0.646737519,1e-05,515,0.3233637595,0.30592562249588
"76",0.352893378,0.646492699932,0.000613922068,515,0.322939388932,0.305614630175305
"77",0.352629955,0.64631176852,0.00105827648,515,0.32262674602,0.305386499165363
"78",0.353252481,0.646737519,1e-05,515,0.3233637595,0.30592562249588
"79",0.352893378,0.646492699932,0.000613922068,515,0.322939388932,0.305614630175305
"80",0.352629955,0.64631176852,0.00105827648,515,0.32262674602,0.305386499165363
"81",0.353252481,0.646737519,1e-05,515,0.3233637595,0.30592562249588
