X,Y,group,Species 1,Species 2,Author
0.18982064,1450.99164,1,BaF2,LiF,MSTDB-TC V3.1
0.168404499,1471.62672,1,BaF2,LiF,MSTDB-TC V3.1
0.159666171,1479.95887,1,BaF2,LiF,MSTDB-TC V3.1
1.00E-05,1479.95887,1,BaF2,LiF,MSTDB-TC V3.1
1.00E-05,319.988587,2,BaF2,LiF,MSTDB-TC V3.1
0.5,319.988587,2,BaF2,LiF,MSTDB-TC V3.1
0.5,200,2,BaF2,LiF,MSTDB-TC V3.1
1.00E-05,1116.13139,3,BaF2,LiF,MSTDB-TC V3.1
0.5,1116.13139,3,BaF2,LiF,MSTDB-TC V3.1
0.5,1034.08702,3,BaF2,LiF,MSTDB-TC V3.1
0.99999,1034.08702,3,BaF2,LiF,MSTDB-TC V3.1
1.00E-05,1116.13139,4,BaF2,LiF,MSTDB-TC V3.1
0.0250095,1116.13139,4,BaF2,LiF,MSTDB-TC V3.1
0.050009,1116.13139,4,BaF2,LiF,MSTDB-TC V3.1
0.0750085,1116.13139,4,BaF2,LiF,MSTDB-TC V3.1
0.100008,1116.13139,4,BaF2,LiF,MSTDB-TC V3.1
0.1250075,1116.13139,4,BaF2,LiF,MSTDB-TC V3.1
0.150007,1116.13139,4,BaF2,LiF,MSTDB-TC V3.1
0.1750065,1116.13139,4,BaF2,LiF,MSTDB-TC V3.1
0.200006,1116.13139,4,BaF2,LiF,MSTDB-TC V3.1
0.2250055,1116.13139,4,BaF2,LiF,MSTDB-TC V3.1
0.250005,1116.13139,4,BaF2,LiF,MSTDB-TC V3.1
0.2750045,1116.13139,4,BaF2,LiF,MSTDB-TC V3.1
0.300004,1116.13139,4,BaF2,LiF,MSTDB-TC V3.1
0.3250035,1116.13139,4,BaF2,LiF,MSTDB-TC V3.1
0.350003,1116.13139,4,BaF2,LiF,MSTDB-TC V3.1
0.3750025,1116.13139,4,BaF2,LiF,MSTDB-TC V3.1
0.400002,1116.13139,4,BaF2,LiF,MSTDB-TC V3.1
0.4250015,1116.13139,4,BaF2,LiF,MSTDB-TC V3.1
0.450001,1116.13139,4,BaF2,LiF,MSTDB-TC V3.1
0.4750005,1116.13139,4,BaF2,LiF,MSTDB-TC V3.1
0.5,1116.13139,4,BaF2,LiF,MSTDB-TC V3.1
0.5249995,1116.13139,4,BaF2,LiF,MSTDB-TC V3.1
0.531810402,1116.13139,4,BaF2,LiF,MSTDB-TC V3.1
0.532809893,1116.08134,4,BaF2,LiF,MSTDB-TC V3.1
0.557785264,1114.32434,4,BaF2,LiF,MSTDB-TC V3.1
0.582726212,1111.58828,4,BaF2,LiF,MSTDB-TC V3.1
0.607616879,1107.85992,4,BaF2,LiF,MSTDB-TC V3.1
0.632440265,1103.12034,4,BaF2,LiF,MSTDB-TC V3.1
0.65717771,1097.34385,4,BaF2,LiF,MSTDB-TC V3.1
0.681808215,1090.49668,4,BaF2,LiF,MSTDB-TC V3.1
0.706307523,1082.53519,4,BaF2,LiF,MSTDB-TC V3.1
0.730646861,1073.40355,4,BaF2,LiF,MSTDB-TC V3.1
0.754791169,1063.03078,4,BaF2,LiF,MSTDB-TC V3.1
0.778696599,1051.32696,4,BaF2,LiF,MSTDB-TC V3.1
0.802306909,1038.17861,4,BaF2,LiF,MSTDB-TC V3.1
0.809070598,1034.08702,4,BaF2,LiF,MSTDB-TC V3.1
0.99999,1034.08702,4,BaF2,LiF,MSTDB-TC V3.1
1.00E-05,1479.95887,5,BaF2,LiF,MSTDB-TC V3.1
0.0250095,1479.95887,5,BaF2,LiF,MSTDB-TC V3.1
0.050009,1479.95887,5,BaF2,LiF,MSTDB-TC V3.1
0.0750085,1479.95887,5,BaF2,LiF,MSTDB-TC V3.1
0.100008,1479.95887,5,BaF2,LiF,MSTDB-TC V3.1
0.1250075,1479.95887,5,BaF2,LiF,MSTDB-TC V3.1
0.150007,1479.95887,5,BaF2,LiF,MSTDB-TC V3.1
0.159666171,1479.95887,5,BaF2,LiF,MSTDB-TC V3.1
0.158832554,1480.84258,5,BaF2,LiF,MSTDB-TC V3.1
0.137947624,1502.82743,5,BaF2,LiF,MSTDB-TC V3.1
0.116980583,1524.61127,5,BaF2,LiF,MSTDB-TC V3.1
0.095932034,1546.19295,5,BaF2,LiF,MSTDB-TC V3.1
0.074802672,1567.5715,5,BaF2,LiF,MSTDB-TC V3.1
0.053593224,1588.74605,5,BaF2,LiF,MSTDB-TC V3.1
0.032304443,1609.7158,5,BaF2,LiF,MSTDB-TC V3.1
0.010937108,1630.48,5,BaF2,LiF,MSTDB-TC V3.1
1.00E-05,1640.99016,5,BaF2,LiF,MSTDB-TC V3.1
0.99999,1119.79615,6,BaF2,LiF,MSTDB-TC V3.1
0.999017785,1119.42174,6,BaF2,LiF,MSTDB-TC V3.1
0.974740539,1109.87632,6,BaF2,LiF,MSTDB-TC V3.1
0.950519535,1099.97189,6,BaF2,LiF,MSTDB-TC V3.1
0.926357686,1089.70421,6,BaF2,LiF,MSTDB-TC V3.1
0.902257983,1079.06919,6,BaF2,LiF,MSTDB-TC V3.1
0.878223492,1068.06286,6,BaF2,LiF,MSTDB-TC V3.1
0.854257346,1056.68137,6,BaF2,LiF,MSTDB-TC V3.1
0.830362749,1044.92105,6,BaF2,LiF,MSTDB-TC V3.1
0.809070598,1034.08702,6,BaF2,LiF,MSTDB-TC V3.1
0.5,1034.08702,6,BaF2,LiF,MSTDB-TC V3.1
0.5,200,6,BaF2,LiF,MSTDB-TC V3.1
1.00E-05,1093.94465,1,BaF2,NaF,MSTDB-TC V3.1
0.99999,1093.94465,1,BaF2,NaF,MSTDB-TC V3.1
1.00E-05,1093.94465,2,BaF2,NaF,MSTDB-TC V3.1
0.0250095,1093.94465,2,BaF2,NaF,MSTDB-TC V3.1
0.050009,1093.94465,2,BaF2,NaF,MSTDB-TC V3.1
0.0750085,1093.94465,2,BaF2,NaF,MSTDB-TC V3.1
0.100008,1093.94465,2,BaF2,NaF,MSTDB-TC V3.1
0.1250075,1093.94465,2,BaF2,NaF,MSTDB-TC V3.1
0.150007,1093.94465,2,BaF2,NaF,MSTDB-TC V3.1
0.1750065,1093.94465,2,BaF2,NaF,MSTDB-TC V3.1
0.200006,1093.94465,2,BaF2,NaF,MSTDB-TC V3.1
0.2250055,1093.94465,2,BaF2,NaF,MSTDB-TC V3.1
0.250005,1093.94465,2,BaF2,NaF,MSTDB-TC V3.1
0.2750045,1093.94465,2,BaF2,NaF,MSTDB-TC V3.1
0.300004,1093.94465,2,BaF2,NaF,MSTDB-TC V3.1
0.3250035,1093.94465,2,BaF2,NaF,MSTDB-TC V3.1
0.350003,1093.94465,2,BaF2,NaF,MSTDB-TC V3.1
0.3750025,1093.94465,2,BaF2,NaF,MSTDB-TC V3.1
0.400002,1093.94465,2,BaF2,NaF,MSTDB-TC V3.1
0.4250015,1093.94465,2,BaF2,NaF,MSTDB-TC V3.1
0.450001,1093.94465,2,BaF2,NaF,MSTDB-TC V3.1
0.4750005,1093.94465,2,BaF2,NaF,MSTDB-TC V3.1
0.5,1093.94465,2,BaF2,NaF,MSTDB-TC V3.1
0.5249995,1093.94465,2,BaF2,NaF,MSTDB-TC V3.1
0.549999,1093.94465,2,BaF2,NaF,MSTDB-TC V3.1
0.5749985,1093.94465,2,BaF2,NaF,MSTDB-TC V3.1
0.599998,1093.94465,2,BaF2,NaF,MSTDB-TC V3.1
0.612176027,1093.94465,2,BaF2,NaF,MSTDB-TC V3.1
0.61312106,1094.48407,2,BaF2,NaF,MSTDB-TC V3.1
0.636788651,1107.76865,2,BaF2,NaF,MSTDB-TC V3.1
0.66053474,1120.66619,2,BaF2,NaF,MSTDB-TC V3.1
0.684356694,1133.17705,2,BaF2,NaF,MSTDB-TC V3.1
0.708252295,1145.29948,2,BaF2,NaF,MSTDB-TC V3.1
0.732219098,1157.03299,2,BaF2,NaF,MSTDB-TC V3.1
0.756253797,1168.38207,2,BaF2,NaF,MSTDB-TC V3.1
0.780351743,1179.35994,2,BaF2,NaF,MSTDB-TC V3.1
0.804506718,1189.9911,2,BaF2,NaF,MSTDB-TC V3.1
0.828711013,1200.31233,2,BaF2,NaF,MSTDB-TC V3.1
0.852955767,1210.3717,2,BaF2,NaF,MSTDB-TC V3.1
0.877231457,1220.22585,2,BaF2,NaF,MSTDB-TC V3.1
0.901528437,1229.93608,2,BaF2,NaF,MSTDB-TC V3.1
0.925837428,1239.56413,2,BaF2,NaF,MSTDB-TC V3.1
0.95014991,1249.16815,2,BaF2,NaF,MSTDB-TC V3.1
0.974458411,1258.79956,2,BaF2,NaF,MSTDB-TC V3.1
0.998756694,1268.50092,2,BaF2,NaF,MSTDB-TC V3.1
0.99999,1268.99598,2,BaF2,NaF,MSTDB-TC V3.1
1.00E-05,1479.95887,3,BaF2,NaF,MSTDB-TC V3.1
0.0250095,1479.95887,3,BaF2,NaF,MSTDB-TC V3.1
0.050009,1479.95887,3,BaF2,NaF,MSTDB-TC V3.1
0.0750085,1479.95887,3,BaF2,NaF,MSTDB-TC V3.1
0.100008,1479.95887,3,BaF2,NaF,MSTDB-TC V3.1
