X,Y,group,Species 1,Species 2
0.849993,599.151342,5,NaCl,ZrCl4
0.8249935,599.151342,5,NaCl,ZrCl4
0.799994,599.151342,5,NaCl,ZrCl4
0.7749945,599.151342,5,NaCl,ZrCl4
0.749995,599.151342,5,NaCl,ZrCl4
0.7249955,599.151342,5,NaCl,ZrCl4
0.699996,599.151342,5,NaCl,ZrCl4
0.677639639,599.151342,5,NaCl,ZrCl4
0.676640492,599.196222,5,NaCl,ZrCl4
0.666666667,599.411981,5,NaCl,ZrCl4
0.656683013,599.186861,5,NaCl,ZrCl4
0.63680465,597.309294,5,NaCl,ZrCl4
0.612884761,592.190076,5,NaCl,ZrCl4
0.5,592.190076,5,NaCl,ZrCl4
0.5,400,5,NaCl,ZrCl4
0.99999,709.99899,6,NaCl,ZrCl4
0.998994249,709.897932,6,NaCl,ZrCl4
0.974130482,707.036166,6,NaCl,ZrCl4
0.949337905,703.505263,6,NaCl,ZrCl4
0.924637306,699.265476,6,NaCl,ZrCl4
0.900052906,694.274928,6,NaCl,ZrCl4
0.875612829,688.489857,6,NaCl,ZrCl4
0.851349592,681.864988,6,NaCl,ZrCl4
0.827300624,674.353995,6,NaCl,ZrCl4
0.803508798,665.910007,6,NaCl,ZrCl4
0.780023028,656.48611,6,NaCl,ZrCl4
0.756898968,646.035737,6,NaCl,ZrCl4
0.734199915,634.512883,6,NaCl,ZrCl4
0.711998042,621.872111,6,NaCl,ZrCl4
0.690376052,608.068498,6,NaCl,ZrCl4
0.677639639,599.151342,6,NaCl,ZrCl4
0.666666667,599.151342,6,NaCl,ZrCl4
0.666666667,400,6,NaCl,ZrCl4
0.333333333,400,7,NaCl,ZrCl4
0.333333333,628.366536,7,NaCl,ZrCl4
0.358342833,628.366536,7,NaCl,ZrCl4
0.383342333,628.366536,7,NaCl,ZrCl4
0.408341833,628.366536,7,NaCl,ZrCl4
0.433341333,628.366536,7,NaCl,ZrCl4
0.436011413,628.366536,7,NaCl,ZrCl4
0.43690541,628.859376,7,NaCl,ZrCl4
0.460054667,639.24203,7,NaCl,ZrCl4
0.484465188,645.176183,7,NaCl,ZrCl4
0.5,646.23015,7,NaCl,ZrCl4
0.515545653,645.191286,7,NaCl,ZrCl4
0.527873232,642.916991,7,NaCl,ZrCl4
0.539972748,639.4654,7,NaCl,ZrCl4
0.563252768,629.442778,7,NaCl,ZrCl4
0.585011295,615.901265,7,NaCl,ZrCl4
0.605109791,599.547321,7,NaCl,ZrCl4
0.612884761,592.190077,7,NaCl,ZrCl4
0.666666667,592.190077,7,NaCl,ZrCl4
0.666666667,400,7,NaCl,ZrCl4
1.00E-05,738.821651,1,MgCl2,NaCl
0.5,738.821651,1,MgCl2,NaCl
0.5,732.29849,1,MgCl2,NaCl
0.666666667,732.29849,1,MgCl2,NaCl
0.666666667,748.103524,1,MgCl2,NaCl
0.691676167,748.103524,1,MgCl2,NaCl
0.716675667,748.103524,1,MgCl2,NaCl
0.741675167,748.103524,1,MgCl2,NaCl
0.766674667,748.103524,1,MgCl2,NaCl
0.791674167,748.103524,1,MgCl2,NaCl
0.816673667,748.103524,1,MgCl2,NaCl
0.841673167,748.103524,1,MgCl2,NaCl
0.866672667,748.103524,1,MgCl2,NaCl
0.891672167,748.103524,1,MgCl2,NaCl
0.916671667,748.103524,1,MgCl2,NaCl
0.941671167,748.103524,1,MgCl2,NaCl
0.966670667,748.103524,1,MgCl2,NaCl
0.991670167,748.103524,1,MgCl2,NaCl
0.999956143,748.103524,1,MgCl2,NaCl
0.999956208,749.203524,1,MgCl2,NaCl
0.999958328,776.703524,1,MgCl2,NaCl
0.999961016,804.203524,1,MgCl2,NaCl
0.999964179,831.703524,1,MgCl2,NaCl
0.999967721,859.203524,1,MgCl2,NaCl
0.99997155,886.703523,1,MgCl2,NaCl
